StdRfolge;DlaufRfolg;ZtrlPunkt;Blöcke;Butter_g;Zucker_g;Vollkornmehl_%;Durchmesser_1_mm;Durchmesser_2_mm;Höhe_mm;Durchsch_Durchmesser_mm
6;1;1;1;250;160;1;59;61;23;60
1;2;1;1;120;160;-1;61;64;21;62,5
4;3;1;1;250;280;-1;89;83;8;86
10;4;0;1;185;220;0;66;73;16;69,5
8;5;1;1;250;280;1;76;76;14;76
7;6;1;1;120;280;1;67;67;16;67
2;7;1;1;250;160;-1;73;69;19;71
9;8;0;1;185;220;0;70;72;15;71
5;9;1;1;120;160;1;59;56;22;57,5
3;10;1;1;120;280;-1;79;78;13;78,5
19;11;0;2;185;220;0;69;69;16;69
15;12;1;2;120;160;1;58;57;22;57,5
13;13;1;2;120;280;-1;80;76;11;78
20;14;0;2;185;220;0;69;70;16;69,5
16;15;1;2;250;160;1;64;64;18;64
11;16;1;2;120;160;-1;66;64;20;65
14;17;1;2;250;280;-1;90;88;9;89
18;18;1;2;250;280;1;77;83;13;80
17;19;1;2;120;280;1;69;69;17;69
12;20;1;2;250;160;-1;75;75;17;75
28;21;1;3;250;280;1;77;78;15;77,5
27;22;1;3;120;280;1;70;70;16;70
22;23;1;3;250;160;-1;75;73;17;74
30;24;0;3;185;220;0;73;70;17;71,5
29;25;0;3;185;220;0;74;69;15;71,5
25;26;1;3;120;160;1;61;59;22;60
23;27;1;3;120;280;-1;80;80;13;80
26;28;1;3;250;160;1;67;67;21;67
21;29;1;3;120;160;-1;65;68;19;66,5
24;30;1;3;250;280;-1;94;89;9;91,5
